Visitor/Neutral,Home/Neutral
Dallas Mavericks,San Antonio Spurs
Orlando Magic,Atlanta Hawks
Utah Jazz,Charlotte Hornets
Golden State Warriors,Cleveland Cavaliers
Boston Celtics,Dallas Mavericks
Chicago Bulls,Detroit Pistons
Houston Rockets,Los Angeles Clippers
New Orleans Pelicans,Memphis Grizzlies
Philadelphia 76ers,New York Knicks
Brooklyn Nets,Toronto Raptors
Portland Trail Blazers,Washington Wizards
Oklahoma City Thunder,Denver Nuggets
Milwaukee Bucks,Miami Heat
Minnesota Timberwolves,New Orleans Pelicans
Indiana Pacers,Phoenix Suns
Cleveland Cavaliers,Brooklyn Nets
Golden State Warriors,Chicago Bulls
Minnesota Timberwolves,Dallas Mavericks
Detroit Pistons,Houston Rockets
Sacramento Kings,Los Angeles Lakers
Utah Jazz,New York Knicks
Charlotte Hornets,Oklahoma City Thunder
Philadelphia 76ers,Orlando Magic
Atlanta Hawks,Portland Trail Blazers
Boston Celtics,Toronto Raptors
Miami Heat,Washington Wizards
Los Angeles Clippers,Cleveland Cavaliers
Memphis Grizzlies,Denver Nuggets
Detroit Pistons,New Orleans Pelicans
San Antonio Spurs,Phoenix Suns
Atlanta Hawks,Sacramento Kings
Chicago Bulls,Boston Celtics
Utah Jazz,Brooklyn Nets
Oklahoma City Thunder,Dallas Mavericks
Indiana Pacers,Golden State Warriors
Milwaukee Bucks,Houston Rockets
San Antonio Spurs,Los Angeles Lakers
Los Angeles Clippers,New York Knicks
Charlotte Hornets,Orlando Magic
Miami Heat,Toronto Raptors
New York Knicks,Charlotte Hornets
Chicago Bulls,Cleveland Cavaliers
Detroit Pistons,Denver Nuggets
Memphis Grizzlies,Minnesota Timberwolves
Milwaukee Bucks,New Orleans Pelicans
Atlanta Hawks,Phoenix Suns
Los Angeles Lakers,Portland Trail Blazers
Indiana Pacers,Sacramento Kings
Oklahoma City Thunder,Brooklyn Nets
Dallas Mavericks,Houston Rockets
Boston Celtics,Philadelphia 76ers
Los Angeles Clippers,Toronto Raptors
Miami Heat,Chicago Bulls
Minnesota Timberwolves,Cleveland Cavaliers
Atlanta Hawks,Denver Nuggets
San Antonio Spurs,Golden State Warriors
Orlando Magic,Memphis Grizzlies
Houston Rockets,New Orleans Pelicans
Charlotte Hornets,Sacramento Kings
Detroit Pistons,Utah Jazz
Boston Celtics,Washington Wizards
Miami Heat,Brooklyn Nets
Los Angeles Clippers,Indiana Pacers
Dallas Mavericks,Los Angeles Lakers
Orlando Magic,Milwaukee Bucks
Oklahoma City Thunder,New York Knicks
Phoenix Suns,Philadelphia 76ers
Sacramento Kings,Portland Trail Blazers
Washington Wizards,Toronto Raptors
Los Angeles Clippers,Atlanta Hawks
Denver Nuggets,Boston Celtics
Phoenix Suns,Cleveland Cavaliers
Philadelphia 76ers,Detroit Pistons
Dallas Mavericks,Golden State Warriors
Oklahoma City Thunder,Minnesota Timberwolves
Houston Rockets,San Antonio Spurs
Charlotte Hornets,Utah Jazz
Atlanta Hawks,Indiana Pacers
Chicago Bulls,Los Angeles Lakers
Milwaukee Bucks,Memphis Grizzlies
Sacramento Kings,New Orleans Pelicans
New York Knicks,Toronto Raptors
Denver Nuggets,Washington Wizards
Orlando Magic,Boston Celtics
Brooklyn Nets,Dallas Mavericks
Cleveland Cavaliers,Detroit Pistons
Los Angeles Lakers,Los Angeles Clippers
Miami Heat,Milwaukee Bucks
Phoenix Suns,New York Knicks
Houston Rockets,Oklahoma City Thunder
Charlotte Hornets,Portland Trail Blazers
Minnesota Timberwolves,Utah Jazz
San Antonio Spurs,Cleveland Cavaliers
Washington Wizards,Houston Rockets
Denver Nuggets,Indiana Pacers
Sacramento Kings,Memphis Grizzlies
Brooklyn Nets,New Orleans Pelicans
Golden State Warriors,Philadelphia 76ers
Detroit Pistons,Toronto Raptors
Phoenix Suns,Dallas Mavericks
Chicago Bulls,Los Angeles Clippers
Charlotte Hornets,Los Angeles Lakers
Atlanta Hawks,Miami Heat
Golden State Warriors,New York Knicks
Boston Celtics,Orlando Magic
Minnesota Timberwolves,Portland Trail Blazers
Dallas Mavericks,Atlanta Hawks
Detroit Pistons,Brooklyn Nets
